Serial_no,A1,A2,B
157,0,0.071232877,0.112328767
158,0,0.071232877,0.076712329
159,0,0.120547945,0.169863014
160,0.002739726,0.432876712,0.632876712
161,0,0.021917808,0.02739726
162,0.002739726,0.37260274,0.44109589
163,0.002739726,0.216438356,0.208219178
164,0,0.37260274,0.493150685
165,0,0.079452055,0.139726027
166,0,0.060273973,0.104109589
167,0,0.298630137,0.484931507
168,0,0.071232877,0.065753425
169,0,0.098630137,0.095890411
170,0,0.139726027,0.164383562
171,0.008219178,1.008219178,1.44109589
172,0,0.235616438,0.353424658
173,0,0.035616438,0.054794521
174,0,0.202739726,0.238356164
175,0.005479452,0.408219178,0.476712329
176,0,0.194520548,0.210958904
177,0.002739726,0.257534247,0.328767123
178,0,0.005479452,0.021917808
179,0.005479452,0.112328767,0.205479452
180,0.005479452,0.090410959,0.142465753
181,0,0.035616438,0.032876712
182,0,0.142465753,0.249315068
183,0.002739726,0.682191781,1.071232877
184,0,0.18630137,0.257534247
185,0,0.071232877,0.076712329
186,0.002739726,0.090410959,0.104109589
187,0,0.243835616,0.306849315
188,0,0.120547945,0.109589041
189,0.005479452,0.249315068,0.37260274
190,0,0.052054795,0.084931507
191,0,0.084931507,0.180821918
192,0,0.032876712,0.04109589
193,0,0.112328767,0.164383562
194,0,0.076712329,0.112328767
195,0,0.194520548,0.328767123
196,0.002739726,0.498630137,0.906849315
197,0.002739726,0.183561644,0.249315068
198,0,0.257534247,0.276712329
199,0,0.145205479,0.150684932
200,0,0.101369863,0.2
201,0,0.019178082,0.010958904
202,0,0.019178082,0.084931507
203,0,0.079452055,0.115068493
204,0.005479452,0.287671233,0.397260274
205,0,1.898630137,2.008219178
206,0,0.139726027,0.142465753
207,0,0.115068493,0.219178082
208,0,0.054794521,0.038356164
209,0,0.043835616,0.04109589
210,0.002739726,0.106849315,0.147945205
211,0,0.043835616,0.082191781
212,0.002739726,0.183561644,0.169863014
213,0,0.016438356,0.043835616
214,0,0.761643836,1.049315068
215,0,0.169863014,0.191780822
216,0,0.021917808,0.030136986
217,0,0.271232877,0.336986301
218,0,0.005479452,0.002739726
219,0.002739726,0.243835616,0.317808219
220,0,0.128767123,0.271232877
221,0.008219178,0.309589041,0.454794521
222,0,0.02739726,0.032876712
223,0.002739726,1.169863014,1.304109589
224,0.002739726,0.265753425,0.37260274
225,0,0.016438356,0.049315068
226,0,0.065753425,0.065753425
227,0.016438356,3.128767123,4.221917808
228,0.002739726,0.183561644,0.202739726
229,0.002739726,0.230136986,0.191780822
230,0.005479452,0.17260274,0.306849315
231,0,0.120547945,0.120547945
232,0.005479452,0.471232877,0.695890411
233,0,0.098630137,0.2
234,0,0.052054795,0.090410959
235,0.010958904,0.539726027,0.578082192
236,0.002739726,0.263013699,0.323287671
237,0,0.035616438,0.046575342
238,0,0.128767123,0.115068493
239,0,0.090410959,0.175342466
240,0,0.068493151,0.057534247
241,0,0.257534247,0.495890411
242,0,0.112328767,0.117808219
243,0,0.112328767,0.153424658
244,0.002739726,0.095890411,0.134246575
245,0.002739726,0.210958904,0.260273973
246,0.002739726,0.18630137,0.24109589
247,0,0.605479452,0.690410959
248,0,0.153424658,0.164383562
249,0,0.079452055,0.101369863
250,0,0.112328767,0.112328767
251,0,0.575342466,0.542465753
252,0,0.038356164,0.095890411
253,0.002739726,0.435616438,0.602739726
254,0.002739726,0.219178082,0.284931507
255,0,0.060273973,0.084931507
256,0.005479452,0.369863014,0.383561644
257,0,0.21369863,0.252054795
258,0,0.076712329,0.101369863
259,0,0.115068493,0.180821918
260,0.002739726,0.383561644,0.435616438
