,id_number,customer_class,pick_up_location,speciality,hospital,ambulance_location,arrival_date,waiting_time,service_start_date,service_time,pick_up_time,delay_at_site,to_hospital_time,delay_at_hospital,return_to_loc_time,service_end_date,time_blocked,exit_date,destination,queue_size_at_arrival,queue_size_at_departure,Trial
0,4387,683,227,2,False,0,29.291023097139018,0.0,29.291023097139018,0.0,False,False,False,False,False,29.291023097139018,0.0,29.291023097139018,2,0,0,0
1,7943,385,128,1,False,0,52.298601489861895,0.0,52.298601489861895,0.0,False,False,False,False,False,52.298601489861895,0.0,52.298601489861895,2,0,0,0
2,14598,430,143,1,False,0,95.21755651247481,0.0,95.21755651247481,0.0,False,False,False,False,False,95.21755651247481,0.0,95.21755651247481,2,0,0,0
3,7291,542,180,2,False,1,48.21014513588647,0.0,48.21014513588647,0.0,False,False,False,False,False,48.21014513588647,0.0,48.21014513588647,3,0,0,0
4,8317,278,92,2,False,1,54.637800743899014,0.0,54.637800743899014,0.0,False,False,False,False,False,54.637800743899014,0.0,54.637800743899014,3,0,0,0
5,133,386,128,2,False,2,0.8563153876242198,0.0,0.8563153876242198,0.0,False,False,False,False,False,0.8563153876242198,0.0,0.8563153876242198,4,0,0,0
6,14427,62,20,2,False,2,94.01783047674358,0.0,94.01783047674358,0.0,False,False,False,False,False,94.01783047674358,0.0,94.01783047674358,4,0,0,0
7,9509,146,48,2,False,3,62.097484130733186,0.0,62.097484130733186,0.0,False,False,False,False,False,62.097484130733186,0.0,62.097484130733186,5,0,0,0
8,13549,434,144,2,False,3,88.16004522779336,0.0,88.16004522779336,0.0,False,False,False,False,False,88.16004522779336,0.0,88.16004522779336,5,0,0,0
9,14704,251,83,2,False,4,95.85581561956295,0.0,95.85581561956295,0.0,False,False,False,False,False,95.85581561956295,0.0,95.85581561956295,6,0,0,0
10,8818,272,90,2,False,5,57.55764232578944,0.0,57.55764232578944,0.0,False,False,False,False,False,57.55764232578944,0.0,57.55764232578944,7,0,0,0
11,9392,331,110,1,False,5,61.30987460128657,0.0,61.30987460128657,0.0,False,False,False,False,False,61.30987460128657,0.0,61.30987460128657,7,0,0,0
12,10859,397,132,1,False,5,70.50687309863312,0.0,70.50687309863312,0.0,False,False,False,False,False,70.50687309863312,0.0,70.50687309863312,7,0,0,0
13,5366,71,23,2,False,6,35.566418850934,0.0,35.566418850934,0.0,False,False,False,False,False,35.566418850934,0.0,35.566418850934,8,0,0,0
14,104,460,153,1,False,7,0.6671813142877812,0.0,0.6671813142877812,0.0,False,False,False,False,False,0.6671813142877812,0.0,0.6671813142877812,9,0,0,0
15,410,533,177,2,False,7,2.877901990840464,0.0,2.877901990840464,0.0,False,False,False,False,False,2.877901990840464,0.0,2.877901990840464,9,0,0,0
16,11842,307,102,1,False,7,76.99958092442469,0.0,76.99958092442469,0.0,False,False,False,False,False,76.99958092442469,0.0,76.99958092442469,9,0,0,0
17,3788,616,205,1,False,8,25.290692177149264,0.0,25.290692177149264,0.0,False,False,False,False,False,25.290692177149264,0.0,25.290692177149264,10,0,0,0
18,4119,362,120,2,False,8,27.479534500031136,0.0,27.479534500031136,0.0,False,False,False,False,False,27.479534500031136,0.0,27.479534500031136,10,0,0,0
19,10946,614,204,2,False,8,71.17689032914137,0.0,71.17689032914137,0.0,False,False,False,False,False,71.17689032914137,0.0,71.17689032914137,10,0,0,0
20,8137,386,128,2,False,9,53.4716451510673,0.0,53.4716451510673,0.0,False,False,False,False,False,53.4716451510673,0.0,53.4716451510673,11,0,0,0
21,3269,58,19,1,False,10,22.041695378872948,0.0,22.041695378872948,0.0,False,False,False,False,False,22.041695378872948,0.0,22.041695378872948,12,0,0,0
22,12429,616,205,1,False,10,80.77992956505426,0.0,80.77992956505426,0.0,False,False,False,False,False,80.77992956505426,0.0,80.77992956505426,12,0,0,0
23,2193,697,232,1,False,11,14.675053551931176,0.0,14.675053551931176,0.0,False,False,False,False,False,14.675053551931176,0.0,14.675053551931176,13,0,0,0
24,4723,644,214,2,False,11,31.66548480468087,0.0,31.66548480468087,0.0,False,False,False,False,False,31.66548480468087,0.0,31.66548480468087,13,0,0,0
25,10853,500,166,2,False,11,70.46261716608392,0.0,70.46261716608392,0.0,False,False,False,False,False,70.46261716608392,0.0,70.46261716608392,13,0,0,0
26,12224,683,227,2,False,12,79.38656571519572,0.0,79.38656571519572,0.0,False,False,False,False,False,79.38656571519572,0.0,79.38656571519572,14,0,0,0
27,14654,65,21,2,False,12,95.55837839377688,0.0,95.55837839377688,0.0,False,False,False,False,False,95.55837839377688,0.0,95.55837839377688,14,0,0,0
28,584,592,197,1,False,13,4.014027580521898,0.0,4.014027580521898,0.0,False,False,False,False,False,4.014027580521898,0.0,4.014027580521898,15,0,0,0
29,2352,526,175,1,False,13,15.74605593966862,0.0,15.74605593966862,0.0,False,False,False,False,False,15.74605593966862,0.0,15.74605593966862,15,0,0,0
30,3473,41,13,2,False,13,23.148110069589016,0.0,23.148110069589016,0.0,False,False,False,False,False,23.148110069589016,0.0,23.148110069589016,15,0,0,0
31,9645,403,134,1,False,14,62.868909896662366,0.0,62.868909896662366,0.0,False,False,False,False,False,62.868909896662366,0.0,62.868909896662366,16,0,0,0
32,11363,724,241,1,False,14,74.11721757107888,0.0,74.11721757107888,0.0,False,False,False,False,False,74.11721757107888,0.0,74.11721757107888,16,0,0,0
33,8435,358,119,1,False,15,55.384530870945085,0.0,55.384530870945085,0.0,False,False,False,False,False,55.384530870945085,0.0,55.384530870945085,17,0,0,0
34,8959,683,227,2,False,15,58.492441420410984,0.0,58.492441420410984,0.0,False,False,False,False,False,58.492441420410984,0.0,58.492441420410984,17,0,0,0
35,12355,433,144,1,False,15,80.31329721118165,0.0,80.31329721118165,0.0,False,False,False,False,False,80.31329721118165,0.0,80.31329721118165,17,0,0,0
36,2773,211,70,1,False,16,18.791806092048375,0.0,18.791806092048375,0.0,False,False,False,False,False,18.791806092048375,0.0,18.791806092048375,18,0,0,0
37,12849,394,131,1,False,16,83.40645324076256,0.0,83.40645324076256,0.0,False,False,False,False,False,83.40645324076256,0.0,83.40645324076256,18,0,0,0
38,14285,488,162,2,False,16,93.10210324278985,0.0,93.10210324278985,0.0,False,False,False,False,False,93.10210324278985,0.0,93.10210324278985,18,0,0,0
39,9463,386,128,2,False,17,61.70354394845413,0.0,61.70354394845413,0.0,False,False,False,False,False,61.70354394845413,0.0,61.70354394845413,19,0,0,0
40,14619,25,8,1,False,17,95.36188875161949,0.0,95.36188875161949,0.0,False,False,False,False,False,95.36188875161949,0.0,95.36188875161949,19,0,0,0
41,11099,484,161,1,False,18,72.21815433731422,0.0,72.21815433731422,0.0,False,False,False,False,False,72.21815433731422,0.0,72.21815433731422,20,0,0,0
42,13337,211,70,1,False,18,86.39863360714695,0.0,86.39863360714695,0.0,False,False,False,False,False,86.39863360714695,0.0,86.39863360714695,20,0,0,0
43,13860,733,244,1,False,18,90.21949415613183,0.0,90.21949415613183,0.0,False,False,False,False,False,90.21949415613183,0.0,90.21949415613183,20,0,0,0
44,5141,595,198,1,False,19,34.1478226253716,0.0,34.1478226253716,0.0,False,False,False,False,False,34.1478226253716,0.0,34.1478226253716,21,0,0,0
45,12329,685,228,1,False,19,80.12223130285955,0.0,80.12223130285955,0.0,False,False,False,False,False,80.12223130285955,0.0,80.12223130285955,21,0,0,0
46,426,101,33,2,False,20,2.9885194297074738,0.0,2.9885194297074738,0.0,False,False,False,False,False,2.9885194297074738,0.0,2.9885194297074738,22,0,0,0
47,7528,404,134,2,False,21,49.816089851212105,0.0,49.816089851212105,0.0,False,False,False,False,False,49.816089851212105,0.0,49.816089851212105,23,0,0,0
48,14214,494,164,2,False,21,92.60647091235275,0.0,92.60647091235275,0.0,False,False,False,False,False,92.60647091235275,0.0,92.60647091235275,23,0,0,0
49,14345,307,102,1,False,21,93.42939424619665,0.0,93.42939424619665,0.0,False,False,False,False,False,93.42939424619665,0.0,93.42939424619665,23,0,0,0
50,12190,491,163,2,False,22,79.18134945965623,0.0,79.18134945965623,0.0,False,False,False,False,False,79.18134945965623,0.0,79.18134945965623,24,0,0,0
51,12328,458,152,2,False,22,80.11381230744752,0.0,80.11381230744752,0.0,False,False,False,False,False,80.11381230744752,0.0,80.11381230744752,24,0,0,0
52,13533,62,20,2,False,22,88.03301735738115,0.0,88.03301735738115,0.0,False,False,False,False,False,88.03301735738115,0.0,88.03301735738115,24,0,0,0
53,14713,469,156,1,False,23,95.92262657968254,0.0,95.92262657968254,0.0,False,False,False,False,False,95.92262657968254,0.0,95.92262657968254,25,0,0,0
54,10445,253,84,1,False,24,67.89604738495974,0.0,67.89604738495974,0.0,False,False,False,False,False,67.89604738495974,0.0,67.89604738495974,26,0,0,0
55,11249,272,90,2,False,24,73.28934234946523,0.0,73.28934234946523,0.0,False,False,False,False,False,73.28934234946523,0.0,73.28934234946523,26,0,0,0
56,11684,392,130,2,False,24,76.0531584143984,0.0,76.0531584143984,0.0,False,False,False,False,False,76.0531584143984,0.0,76.0531584143984,26,0,0,0
57,7556,386,128,2,False,25,49.99226763592005,0.0,49.99226763592005,0.0,False,False,False,False,False,49.99226763592005,0.0,49.99226763592005,27,0,0,0
58,10166,70,23,1,False,25,66.28730256321248,0.0,66.28730256321248,0.0,False,False,False,False,False,66.28730256321248,0.0,66.28730256321248,27,0,0,0
59,4938,46,15,1,False,26,32.977341970196335,0.0,32.977341970196335,0.0,False,False,False,False,False,32.977341970196335,0.0,32.977341970196335,28,0,0,0
60,15033,665,221,2,False,26,98.03439803979816,0.0,98.03439803979816,0.0,False,False,False,False,False,98.03439803979816,0.0,98.03439803979816,28,0,0,0
61,7988,550,183,1,False,27,52.57729952170675,0.0,52.57729952170675,0.0,False,False,False,False,False,52.57729952170675,0.0,52.57729952170675,29,0,0,0
62,11569,26,8,2,False,27,75.24687705024184,0.0,75.24687705024184,0.0,False,False,False,False,False,75.24687705024184,0.0,75.24687705024184,29,0,0,0
63,13625,149,49,2,False,27,88.66780783740553,0.0,88.66780783740553,0.0,False,False,False,False,False,88.66780783740553,0.0,88.66780783740553,29,0,0,0
64,11982,391,130,1,False,28,77.82976110415021,0.0,77.82976110415021,0.0,False,False,False,False,False,77.82976110415021,0.0,77.82976110415021,30,0,0,0
65,12971,385,128,1,False,28,84.1864727914522,0.0,84.1864727914522,0.0,False,False,False,False,False,84.1864727914522,0.0,84.1864727914522,30,0,0,0
66,8282,394,131,1,False,29,54.41902097633476,0.0,54.41902097633476,0.0,False,False,False,False,False,54.41902097633476,0.0,54.41902097633476,31,0,0,0
67,13203,302,100,2,False,29,85.60989314026915,0.0,85.60989314026915,0.0,False,False,False,False,False,85.60989314026915,0.0,85.60989314026915,31,0,0,0
68,13789,575,191,2,False,29,89.7876242486602,0.0,89.7876242486602,0.0,False,False,False,False,False,89.7876242486602,0.0,89.7876242486602,31,0,0,0
69,407,260,86,2,False,30,2.8443469520156768,0.0,2.8443469520156768,0.0,False,False,False,False,False,2.8443469520156768,0.0,2.8443469520156768,32,0,0,0
70,4423,17,5,2,False,30,29.583663728186842,0.0,29.583663728186842,0.0,False,False,False,False,False,29.583663728186842,0.0,29.583663728186842,32,0,0,0
71,10947,592,197,1,False,30,71.19533054769383,0.0,71.19533054769383,0.0,False,False,False,False,False,71.19533054769383,0.0,71.19533054769383,32,0,0,0
72,8946,454,151,1,False,31,58.39531473411201,0.0,58.39531473411201,0.0,False,False,False,False,False,58.39531473411201,0.0,58.39531473411201,33,0,0,0
73,5308,692,230,2,False,32,35.21780073997971,0.0,35.21780073997971,0.0,False,False,False,False,False,35.21780073997971,0.0,35.21780073997971,34,0,0,0
74,14649,71,23,2,False,32,95.52915007643396,0.0,95.52915007643396,0.0,False,False,False,False,False,95.52915007643396,0.0,95.52915007643396,34,0,0,0
75,15027,619,206,1,False,32,97.98701959048464,0.0,97.98701959048464,0.0,False,False,False,False,False,97.98701959048464,0.0,97.98701959048464,34,0,0,0
76,12717,731,243,2,False,33,82.53554279802186,0.0,82.53554279802186,0.0,False,False,False,False,False,82.53554279802186,0.0,82.53554279802186,35,0,0,0
77,15255,424,141,1,False,33,99.4429490187721,0.0,99.4429490187721,0.0,False,False,False,False,False,99.4429490187721,0.0,99.4429490187721,35,0,0,0
78,3265,8,2,2,False,34,21.99124255237384,0.0,21.99124255237384,0.0,False,False,False,False,False,21.99124255237384,0.0,21.99124255237384,36,0,0,0
79,3872,257,85,2,False,34,25.79014460952467,0.0,25.79014460952467,0.0,False,False,False,False,False,25.79014460952467,0.0,25.79014460952467,36,0,0,0
80,13520,394,131,1,False,34,87.89028481530674,0.0,87.89028481530674,0.0,False,False,False,False,False,87.89028481530674,0.0,87.89028481530674,36,0,0,0
81,5066,149,49,2,False,35,33.68258415817166,0.0,33.68258415817166,0.0,False,False,False,False,False,33.68258415817166,0.0,33.68258415817166,37,0,0,0
82,12685,385,128,1,False,36,82.29902030823187,0.0,82.29902030823187,0.0,False,False,False,False,False,82.29902030823187,0.0,82.29902030823187,38,0,0,0
83,13361,241,80,1,False,36,86.58505962026912,0.0,86.58505962026912,0.0,False,False,False,False,False,86.58505962026912,0.0,86.58505962026912,38,0,0,0
84,13588,197,65,2,False,36,88.4484590596894,0.0,88.4484590596894,0.0,False,False,False,False,False,88.4484590596894,0.0,88.4484590596894,38,0,0,0
85,9339,71,23,2,False,37,60.96543404695353,0.0,60.96543404695353,0.0,False,False,False,False,False,60.96543404695353,0.0,60.96543404695353,39,0,0,0
86,7855,527,175,2,False,38,51.73884949783683,0.0,51.73884949783683,0.0,False,False,False,False,False,51.73884949783683,0.0,51.73884949783683,40,0,0,0
87,10464,644,214,2,False,38,67.97656066993513,0.0,67.97656066993513,0.0,False,False,False,False,False,67.97656066993513,0.0,67.97656066993513,40,0,0,0
