Demand Level,Scenario,Resource Level,Trial,Percent Abandoned,Ambulance Utilisation,RRV Utilisation,Mean Response Time,Percent Response < 8,Percent Response < 15,Percent Response < 60,Percent Response within Target,Overall Survival
13,noRRV,60,0,0.0048877874156684565,0.4274622430963551,,0.015376350951375411,0.00916167252187091,0.22800854170971963,0.9971757250120549,0.6591582282840808,0.6596057774262007
13,noRRV,60,1,0.005494132808790612,0.4341856621172408,,0.015439482641148963,0.010656349691169483,0.23233557320301365,0.9966741328989344,0.6608973053688998,0.6616264516081708
13,noRRV,60,2,0.009937132427499494,0.4352375092459074,,0.015705933215060718,0.011410717924336072,0.2345310059091218,0.9944984038579094,0.6690891801942539,0.6695147469817325
13,noRRV,60,3,0.007326504307713181,0.4323243963484788,,0.015617791955370247,0.010542783294789825,0.22772411916746021,0.9951027071146783,0.6565093184600734,0.6575639226085894
13,noRRV,60,4,0.007308243972406256,0.4297828627277147,,0.015530665891895706,0.011775982472956319,0.22607147747501027,0.9963028892236068,0.6548678625222512,0.6561665034490222
13,noRRV,60,5,0.007285483000539665,0.43408951560784154,,0.015600635239019412,0.011427412265873285,0.2255054432348367,0.9960105483805531,0.6594766380417878,0.6600476010548517
13,noRRV,60,6,0.006966520121745012,0.4350692318409109,,0.01548004731540101,0.010378510378510378,0.23368606701940034,0.995658662325329,0.6657169990503324,0.666421791875079
13,noRRV,60,7,0.005735354362965997,0.4316611057995861,,0.015533880004255783,0.011073894319502358,0.2216146011347324,0.9972657051062958,0.6618360790211224,0.6625711923544452
13,noRRV,60,8,0.0078362494089036,0.43401842667601354,,0.015726324767186457,0.008337852494577006,0.22078362255965292,0.9962716919739696,0.6540808026030369,0.6552187313303526
13,noRRV,60,9,0.005007782364485349,0.43416517779383434,,0.015333399267390586,0.01130976567790871,0.2376405255316267,0.9970201814980361,0.6592171204117567,0.6614553011611528
13,noRRV,60,10,0.006672169486862017,0.42830964054284276,,0.015325044013372705,0.01026736493936053,0.23173925027563397,0.9975192943770672,0.6575937155457552,0.65853724172342
13,noRRV,60,11,0.009416321624148525,0.4411228928377371,,0.015819095709035527,0.009860477595921653,0.21880869331902333,0.9938958948215723,0.65045613093641,0.6515751690411086
13,noRRV,61,0,0.004337050805452293,0.420294239808174,,0.01522549868425891,0.009846450457894375,0.2335605591131309,0.9981408799834744,0.6616401569923569,0.6621181348957211
13,noRRV,61,1,0.005290646408465034,0.4261390634519357,,0.015255413031983934,0.010994231421784866,0.23956565999321344,0.997964031218188,0.6651510010179844,0.6659431189279872
13,noRRV,61,2,0.009261137024268234,0.4281065883123663,,0.015557673699232501,0.012083361618355848,0.2361686239902247,0.9959269567578576,0.6701513814404996,0.67049625924868
13,noRRV,61,3,0.006444610270673631,0.425453806830828,,0.015496869225781394,0.010534185129808346,0.23202392279461737,0.9963979883104527,0.6578768519777083,0.6591132712610781
13,noRRV,61,4,0.006420326480431665,0.4223360612847853,,0.015417306019435254,0.011285909712722298,0.23187414500683995,0.9973324213406293,0.6564295485636115,0.6575324852633343
13,noRRV,61,5,0.006543443065299514,0.42745856758518896,,0.015449753620296672,0.01087617374856448,0.2318448963048031,0.9962169830439775,0.6593933662095521,0.660188188829045
13,noRRV,61,6,0.006154886709502875,0.42802938326865964,,0.015376456523572116,0.010846722256118229,0.2378143854653922,0.9961358551962579,0.668903803131991,0.6695099377260344
13,noRRV,61,7,0.005052574081660522,0.423955374564539,,0.015460117068466644,0.011548448817821511,0.22618559518928522,0.996993303266366,0.6622932895995627,0.6628643048158004
13,noRRV,61,8,0.006147402553536446,0.42715981963252686,,0.015580598865457172,0.008733920108327691,0.22491536899119838,0.995937711577522,0.6566689234935681,0.658003524592851
13,noRRV,61,9,0.004263382283278067,0.42722812498502927,,0.015209209817643047,0.011306702775897088,0.24387271496276236,0.9974949221394719,0.6600541638456331,0.6624315052808896
13,noRRV,61,10,0.006534598981978263,0.4208960718300165,,0.015209602577315825,0.010197753738027974,0.23778681182388203,0.9972438503410735,0.6606490732446771,0.6615936123634844
13,noRRV,61,11,0.0073460665152931745,0.4333550336557098,,0.015627743071837178,0.01064684612294094,0.22170885228338022,0.9956475157359046,0.6490558457211731,0.6502675884569771
13,noRRV,62,0,0.00392399834779017,0.4122561574703129,,0.014933181438597475,0.010464716006884681,0.2531497418244406,0.9984165232358003,0.669328743545611,0.669827036604715
13,noRRV,62,1,0.004883673607813878,0.41844875732179054,,0.015007140458274622,0.014250814332247556,0.253800217155266,0.9978963083604777,0.6735206297502715,0.6743151527762477
13,noRRV,62,2,0.00757114851619009,0.42045109633847233,,0.015277646594088536,0.013560241372296427,0.2520170859041291,0.9961353312088955,0.6763170384432843,0.676716079129183
13,noRRV,62,3,0.006037582253578455,0.4171254436291934,,0.015189973666558746,0.01229870218115105,0.24794455391723857,0.9974179520282667,0.6680029897397567,0.6692040903786837
13,noRRV,62,4,0.005942217061676115,0.4144103584310827,,0.015126663069458632,0.01360776805251641,0.2477434354485777,0.9974015317286652,0.6650027352297593,0.6661650258525816
13,noRRV,62,5,0.005599028602266595,0.4200796485306871,,0.015165746324153982,0.012017283283823926,0.2519578719956792,0.9962867944909533,0.6701998379692141,0.6710376289129043
13,noRRV,62,6,0.0056814338856949614,0.4199543061679262,,0.015103258350257305,0.012199254490003388,0.2576753642832938,0.9964079972890546,0.676584208742799,0.6773732083906147
13,noRRV,62,7,0.004711183941007784,0.4154112671791814,,0.015152732822543737,0.013391637059305822,0.23927302541678055,0.9978136102760317,0.6674637879201968,0.6682293458874738
