A1,A2,B
0.006470302,0.66739726,0.38630137
0.006470302,0.146680717,0.063013699
0.001560803,0.17601686,0.095890411
0.006470302,0.799409905,0.320547945
0.001560803,0.146680717,0.071232877
0.001560803,0.35203372,0.210958904
0.001560803,0.095342466,0.052054795
0.001560803,0.183350896,0.087671233
0.006470302,0.454710221,0.252054795
0.001560803,0.168682824,0.101369863
0.011379801,0.93142255,0.449315068
0.001560803,0.476712329,0.178082192
0.001560803,0.322697576,0.153424658
0.006470302,0.542718651,0.243835616
0.001560803,0.498714436,0.271232877
0.011379801,4.723119073,2.112328767
0.006470302,1.056101159,0.490410959
0.001560803,0.17601686,0.071232877
0.001560803,0.388703899,0.260273973
0.021198798,2.251548999,1.117808219
0.006470302,1.877513172,0.882191781
0.011379801,1.840842993,0.654794521
0.001560803,1.100105374,0.564383562
0.065384287,6.982002107,3.893150685
0.001560803,0.242023182,0.109589041
0.001560803,0.44004215,0.290410959
0.0162893,1.122107482,0.583561644
0.001560803,0.117344573,0.073972603
0.021198798,2.471570074,1.334246575
0.001560803,0.183350896,0.098630137
0.001560803,0.014668072,0.019178082
0.001560803,0.366701791,0.156164384
0.006470302,0.762739726,0.449315068
0.001560803,0.315363541,0.260273973
0.001560803,0.161348788,0.068493151
0.001560803,0.212687039,0.098630137
0.006470302,1.342128556,0.654794521
0.001560803,0.498714436,0.263013699
0.001560803,0.17601686,0.043835616
0.001560803,0.381369863,0.232876712
0.001560803,0.146680717,0.079452055
0.006470302,0.623393045,0.391780822
0.006470302,0.916754478,0.397260274
0.001560803,0.462044257,0.139726027
0.006470302,0.608724974,0.328767123
0.001560803,0.168682824,0.101369863
0.001560803,0.806743941,0.438356164
0.011379801,0.271359326,0.139726027
0.001560803,1.202781876,0.454794521
0.001560803,0.572054795,0.284931507
0.001560803,0.300695469,0.087671233
0.001560803,0.17601686,0.087671233
0.001560803,0.418040042,0.183561644
0.011379801,0.40337197,0.167123288
0.001560803,0.278693361,0.139726027
0.001560803,0.110010537,0.057534247
0.001560803,0.35203372,0.169863014
0.0162893,1.320126449,0.515068493
0.001560803,0.058672287,0.016438356
0.001560803,0.344699684,0.139726027
0.011379801,0.117344573,0.043835616
0.001560803,0.278693361,0.126027397
0.001560803,0.242023182,0.123287671
0.001560803,0.359367756,0.24109589
0.001560803,0.161348788,0.049315068
0.006470302,0.997428872,0.364383562
0.006470302,1.041433087,0.460273973
0.001560803,0.366701791,0.117808219
0.006470302,0.704067439,0.347945205
0.001560803,0.960758693,0.391780822
0.006470302,0.865416228,0.424657534
0.001560803,0.689399368,0.353424658
0.006470302,0.57938883,0.22739726
0.001560803,0.234689146,0.104109589
0.006470302,0.286027397,0.131506849
0.001560803,0.484046365,0.22739726
0.001560803,0.784741834,0.282191781
0.006470302,0.608724974,0.273972603
0.001560803,0.256691254,0.139726027
0.011379801,1.048767123,0.594520548
0.011379801,0.513382508,0.284931507
0.006470302,0.630727081,0.320547945
0.001560803,0.124678609,0.095890411
0.006470302,0.396037935,0.284931507
0.011379801,2.79426765,1.183561644
0.006470302,0.564720759,0.279452055
0.001560803,0.315363541,0.131506849
0.006470302,0.388703899,0.189041096
0.001560803,0.036670179,0.024657534
0.001560803,0.117344573,0.052054795
0.001560803,0.57938883,0.24109589
0.001560803,0.227355111,0.082191781
0.006470302,0.718735511,0.252054795
0.001560803,0.374035827,0.232876712
0.001560803,0.381369863,0.150684932
0.006470302,1.42280295,0.78630137
0.001560803,0.036670179,0.010958904
0.006470302,0.594056902,0.293150685
0.001560803,0.418040042,0.369863014
0.001560803,0.139346681,0.063013699
0.001560803,0.249357218,0.101369863
0.001560803,0.330031612,0.194520548
0.031017796,1.994857745,1.175342466
0.001560803,0.278693361,0.145205479
0.006470302,0.278693361,0.106849315
0.011379801,0.608724974,0.312328767
0.001560803,0.337365648,0.128767123
0.001560803,0.220021075,0.126027397
0.006470302,0.513382508,0.419178082
0.006470302,1.378798736,0.739726027
0.006470302,0.909420443,0.512328767
0.006470302,0.315363541,0.194520548
0.001560803,0.821412013,0.293150685
0.001560803,0.183350896,0.090410959
0.001560803,0.740737619,0.268493151
0.011379801,0.190684932,0.106849315
0.001560803,0.286027397,0.22739726
0.006470302,0.432708114,0.2
0.001560803,0.234689146,0.142465753
0.001560803,0.506048472,0.323287671
0.001560803,0.315363541,0.145205479
0.001560803,0.293361433,0.101369863
0.006470302,1.378798736,0.594520548
0.001560803,0.880084299,0.6
0.011379801,1.151443625,0.575342466
0.001560803,0.234689146,0.145205479
0.001560803,0.381369863,0.131506849
0.011379801,0.821412013,0.378082192
0.031017796,8.749504742,5.106849315
0.006470302,0.726069547,0.361643836
0.011379801,2.486238145,1.35890411
0.006470302,2.031527924,1.273972603
0.001560803,0.682065332,0.336986301
0.001560803,0.630727081,0.263013699
0.011379801,1.452139094,0.690410959
0.001560803,0.036670179,0.019178082
0.006470302,0.278693361,0.115068493
0.001560803,0.234689146,0.104109589
0.001560803,0.095342466,0.060273973
0.001560803,0.44004215,0.205479452
0.001560803,0.183350896,0.106849315
0.006470302,1.026765016,0.55890411
0.001560803,0.293361433,0.161643836
0.001560803,0.836080084,0.380821918
0.006470302,0.828746048,0.394520548
0.001560803,0.110010537,0.073972603
0.006470302,0.183350896,0.095890411
0.001560803,0.26402529,0.156164384
0.001560803,0.608724974,0.263013699
0.011379801,0.330031612,0.150684932
0.006470302,0.711401475,0.35890411
0.006470302,0.205353003,0.117808219
0.001560803,0.322697576,0.17260274
0.006470302,0.161348788,0.082191781
0.006470302,0.330031612,0.175342466
0.001560803,0.051338251,0.054794521
0.001560803,0.396037935,0.134246575
0.001560803,0.190684932,0.112328767
0.001560803,0.190684932,0.076712329
0.001560803,0.322697576,0.169863014
0.006470302,1.158777661,0.632876712
0.001560803,0.058672287,0.02739726
0.006470302,0.997428872,0.44109589
0.006470302,0.57938883,0.208219178
0.001560803,0.997428872,0.493150685
0.001560803,0.212687039,0.139726027
0.001560803,0.161348788,0.104109589
0.001560803,0.799409905,0.484931507
0.001560803,0.190684932,0.065753425
0.001560803,0.26402529,0.095890411
0.001560803,0.374035827,0.164383562
0.0162893,2.698925184,1.44109589
0.001560803,0.630727081,0.353424658
0.001560803,0.095342466,0.054794521
0.001560803,0.542718651,0.238356164
0.011379801,1.092771338,0.476712329
0.001560803,0.520716544,0.210958904
0.006470302,0.689399368,0.328767123
0.001560803,0.014668072,0.021917808
0.011379801,0.300695469,0.205479452
0.011379801,0.242023182,0.142465753
0.001560803,0.095342466,0.032876712
0.001560803,0.381369863,0.249315068
0.006470302,1.826174921,1.071232877
0.001560803,0.498714436,0.257534247
0.001560803,0.190684932,0.076712329
0.006470302,0.242023182,0.104109589
0.001560803,0.652729189,0.306849315
0.001560803,0.322697576,0.109589041
0.011379801,0.66739726,0.37260274
0.001560803,0.139346681,0.084931507
0.001560803,0.227355111,0.180821918
0.001560803,0.08800843,0.04109589
0.001560803,0.300695469,0.164383562
0.001560803,0.205353003,0.112328767
0.001560803,0.520716544,0.328767123
0.006470302,1.334794521,0.906849315
0.006470302,0.4913804,0.249315068
0.001560803,0.689399368,0.276712329
0.001560803,0.388703899,0.150684932
0.001560803,0.271359326,0.2
0.001560803,0.051338251,0.010958904
0.001560803,0.051338251,0.084931507
0.001560803,0.212687039,0.115068493
0.011379801,0.770073762,0.397260274
0.001560803,5.082486828,2.008219178
0.001560803,0.374035827,0.142465753
0.001560803,0.308029505,0.219178082
0.001560803,0.146680717,0.038356164
0.001560803,0.117344573,0.04109589
0.006470302,0.286027397,0.147945205
0.001560803,0.117344573,0.082191781
0.006470302,0.4913804,0.169863014
0.001560803,0.044004215,0.043835616
0.001560803,2.03886196,1.049315068
0.001560803,0.454710221,0.191780822
0.001560803,0.058672287,0.030136986
0.001560803,0.726069547,0.336986301
0.001560803,0.014668072,0.002739726
0.006470302,0.652729189,0.317808219
0.001560803,0.344699684,0.271232877
0.0162893,0.828746048,0.454794521
0.001560803,0.073340358,0.032876712
0.006470302,3.131633298,1.304109589
0.006470302,0.711401475,0.37260274
0.001560803,0.044004215,0.049315068
0.001560803,0.17601686,0.065753425
0.031017796,8.375468915,4.221917808
0.006470302,0.4913804,0.202739726
0.006470302,0.616059009,0.191780822
0.011379801,0.462044257,0.306849315
0.001560803,0.322697576,0.120547945
0.011379801,1.261454162,0.695890411
0.001560803,0.26402529,0.2
0.001560803,0.139346681,0.090410959
0.021198798,1.444805058,0.578082192
0.006470302,0.704067439,0.323287671
