A1,A2,B
0.002739726,0.249315068,0.38630137
0.002739726,0.054794521,0.063013699
0,0.065753425,0.095890411
0.002739726,0.298630137,0.320547945
0,0.054794521,0.071232877
0,0.131506849,0.210958904
0,0.035616438,0.052054795
0,0.068493151,0.087671233
0.002739726,0.169863014,0.252054795
0,0.063013699,0.101369863
0.005479452,0.347945205,0.449315068
0,0.178082192,0.178082192
0,0.120547945,0.153424658
0.002739726,0.202739726,0.243835616
0,0.18630137,0.271232877
0.005479452,1.764383562,2.112328767
0.002739726,0.394520548,0.490410959
0,0.065753425,0.071232877
0,0.145205479,0.260273973
0.010958904,0.84109589,1.117808219
0.002739726,0.701369863,0.882191781
0.005479452,0.687671233,0.654794521
0,0.410958904,0.564383562
0.035616438,2.608219178,3.893150685
0,0.090410959,0.109589041
0,0.164383562,0.290410959
0.008219178,0.419178082,0.583561644
0,0.043835616,0.073972603
0.010958904,0.923287671,1.334246575
0,0.068493151,0.098630137
0,0.005479452,0.019178082
0,0.136986301,0.156164384
0.002739726,0.284931507,0.449315068
0,0.117808219,0.260273973
0,0.060273973,0.068493151
0,0.079452055,0.098630137
0.002739726,0.501369863,0.654794521
0,0.18630137,0.263013699
0,0.065753425,0.043835616
0,0.142465753,0.232876712
0,0.054794521,0.079452055
0.002739726,0.232876712,0.391780822
0.002739726,0.342465753,0.397260274
0,0.17260274,0.139726027
0.002739726,0.22739726,0.328767123
0,0.063013699,0.101369863
0,0.301369863,0.438356164
0.005479452,0.101369863,0.139726027
0,0.449315068,0.454794521
0,0.21369863,0.284931507
0,0.112328767,0.087671233
0,0.065753425,0.087671233
0,0.156164384,0.183561644
0.005479452,0.150684932,0.167123288
0,0.104109589,0.139726027
0,0.04109589,0.057534247
0,0.131506849,0.169863014
0.008219178,0.493150685,0.515068493
0,0.021917808,0.016438356
0,0.128767123,0.139726027
0.005479452,0.043835616,0.043835616
0,0.104109589,0.126027397
0,0.090410959,0.123287671
0,0.134246575,0.24109589
0,0.060273973,0.049315068
0.002739726,0.37260274,0.364383562
0.002739726,0.389041096,0.460273973
0,0.136986301,0.117808219
0.002739726,0.263013699,0.347945205
0,0.35890411,0.391780822
0.002739726,0.323287671,0.424657534
0,0.257534247,0.353424658
0.002739726,0.216438356,0.22739726
0,0.087671233,0.104109589
0.002739726,0.106849315,0.131506849
0,0.180821918,0.22739726
0,0.293150685,0.282191781
0.002739726,0.22739726,0.273972603
0,0.095890411,0.139726027
0.005479452,0.391780822,0.594520548
0.005479452,0.191780822,0.284931507
0.002739726,0.235616438,0.320547945
0,0.046575342,0.095890411
0.002739726,0.147945205,0.284931507
0.005479452,1.043835616,1.183561644
0.002739726,0.210958904,0.279452055
0,0.117808219,0.131506849
0.002739726,0.145205479,0.189041096
0,0.01369863,0.024657534
0,0.043835616,0.052054795
0,0.216438356,0.24109589
0,0.084931507,0.082191781
0.002739726,0.268493151,0.252054795
0,0.139726027,0.232876712
0,0.142465753,0.150684932
0.002739726,0.531506849,0.78630137
0,0.01369863,0.010958904
0.002739726,0.221917808,0.293150685
0,0.156164384,0.369863014
0,0.052054795,0.063013699
0,0.093150685,0.101369863
0,0.123287671,0.194520548
0.016438356,0.745205479,1.175342466
0,0.104109589,0.145205479
0.002739726,0.104109589,0.106849315
0.005479452,0.22739726,0.312328767
0,0.126027397,0.128767123
0,0.082191781,0.126027397
0.002739726,0.191780822,0.419178082
0.002739726,0.515068493,0.739726027
0.002739726,0.339726027,0.512328767
0.002739726,0.117808219,0.194520548
0,0.306849315,0.293150685
0,0.068493151,0.090410959
0,0.276712329,0.268493151
0.005479452,0.071232877,0.106849315
0,0.106849315,0.22739726
0.002739726,0.161643836,0.2
0,0.087671233,0.142465753
0,0.189041096,0.323287671
0,0.117808219,0.145205479
0,0.109589041,0.101369863
0.002739726,0.515068493,0.594520548
0,0.328767123,0.6
0.005479452,0.430136986,0.575342466
0,0.087671233,0.145205479
0,0.142465753,0.131506849
0.005479452,0.306849315,0.378082192
0.016438356,3.268493151,5.106849315
0.002739726,0.271232877,0.361643836
0.005479452,0.928767123,1.35890411
0.002739726,0.75890411,1.273972603
0,0.254794521,0.336986301
0,0.235616438,0.263013699
0.005479452,0.542465753,0.690410959
0,0.01369863,0.019178082
0.002739726,0.104109589,0.115068493
0,0.087671233,0.104109589
0,0.035616438,0.060273973
0,0.164383562,0.205479452
0,0.068493151,0.106849315
0.002739726,0.383561644,0.55890411
0,0.109589041,0.161643836
0,0.312328767,0.380821918
0.002739726,0.309589041,0.394520548
0,0.04109589,0.073972603
0.002739726,0.068493151,0.095890411
0,0.098630137,0.156164384
0,0.22739726,0.263013699
0.005479452,0.123287671,0.150684932
0.002739726,0.265753425,0.35890411
0.002739726,0.076712329,0.117808219
0,0.120547945,0.17260274
0.002739726,0.060273973,0.082191781
0.002739726,0.123287671,0.175342466
0,0.019178082,0.054794521
0,0.147945205,0.134246575
0,0.071232877,0.112328767
0,0.071232877,0.076712329
0,0.120547945,0.169863014
0.002739726,0.432876712,0.632876712
0,0.021917808,0.02739726
0.002739726,0.37260274,0.44109589
0.002739726,0.216438356,0.208219178
0,0.37260274,0.493150685
0,0.079452055,0.139726027
0,0.060273973,0.104109589
0,0.298630137,0.484931507
0,0.071232877,0.065753425
0,0.098630137,0.095890411
0,0.139726027,0.164383562
0.008219178,1.008219178,1.44109589
0,0.235616438,0.353424658
0,0.035616438,0.054794521
0,0.202739726,0.238356164
0.005479452,0.408219178,0.476712329
0,0.194520548,0.210958904
0.002739726,0.257534247,0.328767123
0,0.005479452,0.021917808
0.005479452,0.112328767,0.205479452
0.005479452,0.090410959,0.142465753
0,0.035616438,0.032876712
0,0.142465753,0.249315068
0.002739726,0.682191781,1.071232877
0,0.18630137,0.257534247
0,0.071232877,0.076712329
0.002739726,0.090410959,0.104109589
0,0.243835616,0.306849315
0,0.120547945,0.109589041
0.005479452,0.249315068,0.37260274
0,0.052054795,0.084931507
0,0.084931507,0.180821918
0,0.032876712,0.04109589
0,0.112328767,0.164383562
0,0.076712329,0.112328767
0,0.194520548,0.328767123
0.002739726,0.498630137,0.906849315
0.002739726,0.183561644,0.249315068
0,0.257534247,0.276712329
0,0.145205479,0.150684932
0,0.101369863,0.2
0,0.019178082,0.010958904
0,0.019178082,0.084931507
0,0.079452055,0.115068493
0.005479452,0.287671233,0.397260274
0,1.898630137,2.008219178
0,0.139726027,0.142465753
0,0.115068493,0.219178082
0,0.054794521,0.038356164
0,0.043835616,0.04109589
0.002739726,0.106849315,0.147945205
0,0.043835616,0.082191781
0.002739726,0.183561644,0.169863014
0,0.016438356,0.043835616
0,0.761643836,1.049315068
0,0.169863014,0.191780822
0,0.021917808,0.030136986
0,0.271232877,0.336986301
0,0.005479452,0.002739726
0.002739726,0.243835616,0.317808219
0,0.128767123,0.271232877
0.008219178,0.309589041,0.454794521
0,0.02739726,0.032876712
0.002739726,1.169863014,1.304109589
0.002739726,0.265753425,0.37260274
0,0.016438356,0.049315068
0,0.065753425,0.065753425
0.016438356,3.128767123,4.221917808
0.002739726,0.183561644,0.202739726
0.002739726,0.230136986,0.191780822
0.005479452,0.17260274,0.306849315
0,0.120547945,0.120547945
0.005479452,0.471232877,0.695890411
0,0.098630137,0.2
0,0.052054795,0.090410959
0.010958904,0.539726027,0.578082192
0.002739726,0.263013699,0.323287671
0,0.035616438,0.046575342
0,0.128767123,0.115068493
0,0.090410959,0.175342466
0,0.068493151,0.057534247
0,0.257534247,0.495890411
0,0.112328767,0.117808219
0,0.112328767,0.153424658
0.002739726,0.095890411,0.134246575
0.002739726,0.210958904,0.260273973
0.002739726,0.18630137,0.24109589
0,0.605479452,0.690410959
0,0.153424658,0.164383562
0,0.079452055,0.101369863
0,0.112328767,0.112328767
0,0.575342466,0.542465753
0,0.038356164,0.095890411
0.002739726,0.435616438,0.602739726
0.002739726,0.219178082,0.284931507
0,0.060273973,0.084931507
0.005479452,0.369863014,0.383561644
0,0.21369863,0.252054795
0,0.076712329,0.101369863
0,0.115068493,0.180821918
0.002739726,0.383561644,0.435616438
