,Longitude,Latitude
0,106.89180093877702,-6.366579686920997
1,106.81045266019999,-6.339448534932283
2,106.8375678,-6.339448534932283
3,106.86468293980002,-6.339448534932283
4,106.89179807960004,-6.339448534932283
5,106.78334036711679,-6.3123173829435695
6,106.8104540835584,-6.3123173829435695
7,106.8375678,-6.3123173829435695
8,106.8646815164416,-6.3123173829435695
9,106.89179523288321,-6.3123173829435695
10,106.91890894932482,-6.3123173829435695
11,106.78334320137667,-6.285186230954856
12,106.81045550068833,-6.285186230954856
13,106.8375678,-6.285186230954856
14,106.86468009931167,-6.285186230954856
15,106.89179239862334,-6.285186230954856
16,106.75623513477433,-6.258055078966142
17,106.78334602318289,-6.258055078966142
18,106.81045691159144,-6.258055078966142
19,106.8375678,-6.258055078966142
20,106.86467868840856,-6.258055078966142
21,106.89178957681712,-6.258055078966142
22,106.75623934880787,-6.230923926977428
23,106.78334883253858,-6.230923926977428
24,106.81045831626929,-6.230923926977428
25,106.8375678,-6.230923926977428
26,106.86467728373071,-6.230923926977428
27,106.89178676746143,-6.230923926977428
28,106.91889625119214,-6.230923926977428
29,106.94600573492285,-6.230923926977428
30,106.72913545889396,-6.203792774988714
31,106.75624354417047,-6.203792774988714
32,106.78335162944698,-6.203792774988714
33,106.81045971472349,-6.203792774988714
34,106.8375678,-6.203792774988714
35,106.86467588527651,-6.203792774988714
36,106.89178397055302,-6.203792774988714
37,106.91889205582953,-6.203792774988714
38,106.94600014110604,-6.203792774988714
39,106.7020343347782,-6.176661623
40,106.72914102782256,-6.176661623
41,106.75624772086692,-6.176661623
42,106.78335441391128,-6.176661623
43,106.81046110695564,-6.176661623
44,106.8375678,-6.176661623
45,106.86467449304436,-6.176661623
46,106.89178118608872,-6.176661623
47,106.91888787913308,-6.176661623
48,106.94599457217744,-6.176661623
49,106.70204126483658,-6.149530471011286
50,106.72914657186926,-6.149530471011286
51,106.75625187890195,-6.149530471011286
52,106.78335718593463,-6.149530471011286
53,106.81046249296732,-6.149530471011286
54,106.8375678,-6.149530471011286
55,106.86467310703269,-6.149530471011286
56,106.89177841406537,-6.149530471011286
57,106.91888372109806,-6.149530471011286
58,106.94598902813074,-6.149530471011286
59,106.70204816380047,-6.1223993190225725
60,106.72915209104038,-6.1223993190225725
61,106.75625601828028,-6.1223993190225725
62,106.78335994552019,-6.1223993190225725
63,106.8104638727601,-6.1223993190225725
64,106.8375678,-6.1223993190225725
65,106.86467172723991,-6.1223993190225725
66,106.89177565447982,-6.1223993190225725
67,106.91887958171972,-6.1223993190225725
68,106.94598350895963,-6.1223993190225725
69,106.72915758534215,-6.095268167033859
