,Longitude,Latitude
0,106.88276128694447,-6.3575359695914235
1,106.79237827259732,-6.312317382943568
2,106.8375678,-6.312317382943568
3,106.88275732740269,-6.312317382943568
4,106.79238220330363,-6.267098796295712
5,106.8375678,-6.267098796295712
6,106.88275339669637,-6.267098796295712
7,106.74720441037375,-6.221880209647856
8,106.79238610518688,-6.221880209647856
9,106.8375678,-6.221880209647856
10,106.88274949481313,-6.221880209647856
11,106.92793118962625,-6.221880209647856
12,106.70203433477822,-6.176661623
13,106.74721215651881,-6.176661623
14,106.79238997825941,-6.176661623
15,106.8375678,-6.176661623
16,106.8827456217406,-6.176661623
17,106.92792344348119,-6.176661623
18,106.70204586760032,-6.131443036352144
19,106.74721984506688,-6.131443036352144
20,106.79239382253344,-6.131443036352144
21,106.8375678,-6.131443036352144
22,106.88274177746656,-6.131443036352144
23,106.92791575493312,-6.131443036352144
