A1,A2,B
0.008435563,0.870109589,0.38630137
0.008435563,0.191232877,0.063013699
0.002034875,0.229479452,0.095890411
0.008435563,1.042219178,0.320547945
0.002034875,0.191232877,0.071232877
0.002034875,0.458958904,0.210958904
0.002034875,0.12430137,0.052054795
0.002034875,0.239041096,0.087671233
0.008435563,0.592821918,0.252054795
0.002034875,0.219917808,0.101369863
0.014836252,1.214328767,0.449315068
0.002034875,0.621506849,0.178082192
0.002034875,0.420712329,0.153424658
0.008435563,0.707561644,0.243835616
0.002034875,0.650191781,0.271232877
0.014836252,6.15769863,2.112328767
0.008435563,1.376876712,0.490410959
0.002034875,0.229479452,0.071232877
0.002034875,0.506767123,0.260273973
0.027637629,2.935424658,1.117808219
0.008435563,2.447780822,0.882191781
0.014836252,2.399972603,0.654794521
0.002034875,1.434246575,0.564383562
0.085243825,9.102684932,3.893150685
0.002034875,0.315534247,0.109589041
0.002034875,0.57369863,0.290410959
0.02123694,1.462931507,0.583561644
0.002034875,0.152986301,0.073972603
0.027637629,3.222273973,1.334246575
0.002034875,0.239041096,0.098630137
0.002034875,0.019123288,0.019178082
0.002034875,0.478082192,0.156164384
0.008435563,0.994410959,0.449315068
0.002034875,0.411150685,0.260273973
0.002034875,0.210356164,0.068493151
0.002034875,0.277287671,0.098630137
0.008435563,1.749780822,0.654794521
0.002034875,0.650191781,0.263013699
0.002034875,0.229479452,0.043835616
0.002034875,0.497205479,0.232876712
0.002034875,0.191232877,0.079452055
0.008435563,0.812739726,0.391780822
0.008435563,1.195205479,0.397260274
0.002034875,0.602383562,0.139726027
0.008435563,0.793616438,0.328767123
0.002034875,0.219917808,0.101369863
0.002034875,1.051780822,0.438356164
0.014836252,0.353780822,0.139726027
0.002034875,1.568109589,0.454794521
0.002034875,0.745808219,0.284931507
0.002034875,0.392027397,0.087671233
0.002034875,0.229479452,0.087671233
0.002034875,0.545013699,0.183561644
0.014836252,0.525890411,0.167123288
0.002034875,0.363342466,0.139726027
0.002034875,0.143424658,0.057534247
0.002034875,0.458958904,0.169863014
0.02123694,1.72109589,0.515068493
0.002034875,0.076493151,0.016438356
0.002034875,0.44939726,0.139726027
0.014836252,0.152986301,0.043835616
0.002034875,0.363342466,0.126027397
0.002034875,0.315534247,0.123287671
0.002034875,0.468520548,0.24109589
0.002034875,0.210356164,0.049315068
0.008435563,1.300383562,0.364383562
0.008435563,1.357753425,0.460273973
0.002034875,0.478082192,0.117808219
0.008435563,0.917917808,0.347945205
0.002034875,1.252575342,0.391780822
0.008435563,1.128273973,0.424657534
